kirstie;waldo
randolf;morven
randolph;morwenna
randy;mose
rani;moses
raniero;moshe
ranj;mosi
ranjeet;moss
ranjit;mostafa
ransu;mostyn
ranulf;motel
ranulph;motke
ranya;motya
raoul;moyna
raphaël;moyra
raphael;mózes
raphaela;mozes
raquel;mscislaw
raschelle;mstislav
rasha;mu
rashad;muadhnait
rasheed;müge
rashid;muhammad
rashida;muhammed
rashmi;muhsin
rashne;muhsina
rasmus;muir
rastus;muireadhach
ratan;muireall
rathnait;muireann
rati;muirenn
ratnam;muirgen
rauha;muirgheal
raul;muirín
rava;muiris
raven;muirne
ravenna;mukesh
ravi;mukhtar
ravindra;mukul
rawiya;muna
rawya;munashe
ray;mungo
raya;munir
raymond;munira
raymonde;munro
raymund;munroe
raymundo;salomon
rayna (1);salud
rayna (2);salut
raynard;salvador
rayner;salvalus
raza;salvatore
razvan;sam
re;samanta
read;samantha
reagan;samara
reah;sameer
réamann;sameera
reanna;sami
reannon;samina
rearden;samir
reba;samira
rebeca;sammi
rébecca;sammie
rebecca;sammy
rebeccah;samnang
rebeccanne;samoyla
rebecka;sampson
rebeckah;samson
rebeka;samu
rebekah;sámuel
rebekka;samuel
red;samuela
redd;samuele
redmond;samuil
redmund;samuli
reece;san
reed;sana'
reena;sana
reene;sanaz
reenie;sancha
rees;sanchia
reese;sancho
reeta;sanda
reetta;sandalio
reg;sandeep
regan;sandford
regana;sandhya
regena;sandie
reggie;sándor
regina;sandra
reginald;sandrine
régine;sandro
régis;sandu
regula;sandy
rei;sanford
reid;sango
reijo;sani
reimund;saniyya
rein;sanjay
reina (1);sanjeet
